name,dea_code,schedule,narcotic,other_names,source,source_url,raw_text,fetched_at
"18a-Homo-3-hydroxy-estra-2,5(10)-dien-17-one",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"18a-Homo-3-hydroxy-estra-2,5(10)-dien-17-one 4000 III N",2026-04-24T17:24:50+00:00
"19-Nor-4,9(10)-androstadienedione (estra-4,9(10)-diene-3,17-dione)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"19-Nor-4,9(10)-androstadienedione (estra-4,9(10)- 4000 III N diene-3,17-dione)",2026-04-24T17:24:50+00:00
"19-Nor-4-androstenediol (3α,17β-dihydroxyestr-4-ene)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"19-Nor-4-androstenediol (3α,17β-dihydroxyestr-4-ene) 4000 III N",2026-04-24T17:24:50+00:00
"19-Nor-4-androstenediol (3β,17β-dihydroxyestr-4-ene)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"19-Nor-4-androstenediol (3β,17β-dihydroxyestr-4-ene) 4000 III N",2026-04-24T17:24:50+00:00
"19-Nor-4-androstenedione (estr-4-en-3,17-dione)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"19-Nor-4-androstenedione (estr-4-en-3,17-dione) 4000 III N",2026-04-24T17:24:50+00:00
"19-Nor-5-androstenediol (3α,17β-dihydroxyestr-5-ene)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"19-Nor-5-androstenediol (3α,17β-dihydroxyestr-5-ene) 4000 III N",2026-04-24T17:24:50+00:00
"19-Nor-5-androstenediol (3β,17β-dihydroxyestr-5-ene)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"19-Nor-5-androstenediol (3β,17β-dihydroxyestr-5-ene) 4000 III N",2026-04-24T17:24:50+00:00
"19-Nor-5-androstenedione (estr-5-en-3,17-dione)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"19-Nor-5-androstenedione (estr-5-en-3,17-dione) 4000 III N",2026-04-24T17:24:50+00:00
"1-Androstenediol (3α,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"1-Androstenediol (3α,17β-dihydroxy-5α-androst-1-ene) 4000 III N",2026-04-24T17:24:50+00:00
"1-Androstenediol (3β,17β-dihydroxy-5α-androst-1-ene)",4000,III,N,,DEA Orange Book (c_cs_alpha.pdf),https://www.deadiversion.usdoj.gov/schedules/orangebook/c_cs_alpha.pdf,"1-Androstenediol (3β,17β-dihydroxy-5α-androst-1-ene) 4000 III N",2026-04-24T17:24:50+00:00
